method,cum_HierAcc_final,FM,BWT,R[0][0],R[1][0],R[1][1],R[2][0],R[2][1],R[2][2],R[3][0],R[3][1],R[3][2],R[3][3],R[4][0],R[4][1],R[4][2],R[4][3],R[4][4],R[5][0],R[5][1],R[5][2],R[5][3],R[5][4],R[5][5]
V1,0.8921161825726142,0.12039752362333005,-0.06047572499185401,0.8978494623655914,0.9247311827956989,0.6363636363636364,0.9086021505376344,0.9090909090909091,1.0,0.9139784946236559,0.8181818181818182,1.0,0.8888888888888888,0.8817204301075269,0.7272727272727273,1.0,0.8888888888888888,0.9,0.9086021505376344,0.8181818181818182,0.7272727272727273,0.6666666666666666,0.9,1.0
naive,0.4190871369294606,0.15285109156076898,-0.15285109156076898,0.8978494623655914,0.6397849462365591,0.18181818181818182,0.8602150537634409,0.0,0.0,0.6397849462365591,0.0,0.0,0.2222222222222222,0.7150537634408602,0.0,0.0,0.0,0.0,0.5376344086021505,0.0,0.0,0.0,0.0,0.07142857142857142
SimpleCIL,0.6431535269709544,0.05904203323558162,-0.03681981101335939,0.8978494623655914,0.8978494623655914,0.0,0.8118279569892473,0.0,1.0,0.8064516129032258,0.0,1.0,0.1111111111111111,0.7150537634408602,0.0,1.0,0.1111111111111111,1.0,0.6935483870967742,0.0,0.9090909090909091,0.2222222222222222,1.0,0.2857142857142857
CacheRefit,0.8796680497925311,0.021407624633431065,-0.014956011730205266,0.8978494623655914,0.9301075268817204,0.45454545454545453,0.9301075268817204,0.45454545454545453,0.9090909090909091,0.9086021505376344,0.45454545454545453,0.9090909090909091,0.6666666666666666,0.9086021505376344,0.45454545454545453,0.9090909090909091,0.6666666666666666,0.9,0.9139784946236559,0.45454545454545453,0.8181818181818182,0.6666666666666666,0.9,0.9285714285714286
